Designator,Mid X,Mid Y,Rotation,Layer
Q9,203.449999,-41.9,180.0,top
Q90,142.557261,-79.68841,0.0,bottom
Q91,149.700118,-79.68841,0.0,top
Q92,149.700118,-79.68841,0.0,bottom
Q93,156.842975,-79.68841,0.0,top
Q94,156.842975,-79.68841,0.0,bottom
Q95,163.985832,-79.68841,0.0,top
Q96,163.985832,-79.68841,0.0,bottom
Q97,113.985833,-86.831267,0.0,top
Q98,113.985833,-86.831267,0.0,bottom
Q99,121.12869,-86.831267,0.0,top
R1_2,113.923333,-41.324125,0.0,top
R1,175.15,-45.6,90.0,top
R10_2,121.054286,-48.466983,0.0,top
R10,197.649999,-53.1,90.0,top
R11_2,128.197143,-48.466983,0.0,top
R11,205.149999,-53.1,90.0,top
R12_2,135.34,-48.466983,0.0,top
R12,212.649999,-53.1,90.0,top
R13_2,142.482857,-48.466983,0.0,top
R13,175.149999,-60.6,90.0,top
R14_2,149.625714,-48.466983,0.0,top
R14,182.649999,-60.6,90.0,top
R15_2,156.780475,-48.466983,0.0,top
R15,190.149999,-60.6,90.0,top
R16_2,163.923332,-48.466983,0.0,top
R16,197.649999,-60.6,90.0,top
R17_2,113.923333,-55.60984,0.0,top
R17,205.149999,-60.6,90.0,top
R18_2,121.06619,-55.60984,0.0,top
R18,212.649999,-60.6,90.0,top
R19_2,128.209047,-55.60984,0.0,top
R19,175.149999,-68.2,90.0,top
R2_2,121.06619,-41.324125,0.0,top
R2,182.65,-45.6,90.0,top
R20_2,135.351904,-55.60984,0.0,top
R20,182.649999,-68.2,90.0,top
R21_2,142.494761,-55.60984,0.0,top
R21,190.149999,-68.2,90.0,top
R22_2,149.637618,-55.60984,0.0,top
R22,197.649999,-68.2,90.0,top
R23_2,156.780475,-55.60984,0.0,top
R23,205.149999,-68.2,90.0,top
R24_2,163.923332,-55.60984,0.0,top
R24,212.649999,-68.2,90.0,top
R25_2,113.923333,-62.752697,0.0,top
R25,175.149999,-75.607501,90.0,top
R26_2,121.054286,-62.752697,0.0,top
R26,182.649999,-75.607501,90.0,top
R27_2,128.209047,-62.752697,0.0,top
R27,190.149999,-75.607501,90.0,top
R28_2,135.351904,-62.752697,0.0,top
R28,197.649999,-75.607501,90.0,top
R29_2,142.494761,-62.752697,0.0,top
R29,205.149999,-75.607501,90.0,top
R3_2,128.209047,-41.324125,0.0,top
R3,190.15,-45.6,90.0,top
R30_2,149.637618,-62.752697,0.0,top
R30,212.649999,-75.607501,90.0,top
R31_2,156.780475,-62.752697,0.0,top
R31,175.149999,-83.1,90.0,top
R32_2,163.923332,-62.752697,0.0,top
R32,182.649999,-83.1,90.0,top
R33_2,113.923333,-69.895554,0.0,top
R33,190.149999,-83.1,90.0,top
